"District","Race","Name","Filing Date","Party Preference"
"HOUSE DISTRICT 27","STATE REPRESENTATIVE DISTRICT 27","*PAUL TUSS","7/27/2026 10:34:11 AM","DEM"
"HOUSE DISTRICT 28","STATE REPRESENTATIVE DISTRICT 28","CHISHOLM B CHRISTENSEN","7/27/2026 11:12:17 AM","REP"
"HOUSE DISTRICT 31","STATE REPRESENTATIVE DISTRICT 31","NATALIE ONEAL","7/27/2026 11:23:45 AM","DEM"
"HOUSE DISTRICT 32","STATE REPRESENTATIVE DISTRICT 32","*MIKE FOX","7/27/2026 11:27:05 AM","DEM"
"HOUSE DISTRICT 38","STATE REPRESENTATIVE DISTRICT 38","*GREG OBLANDER","7/27/2026 11:49:29 AM","REP"
"HOUSE DISTRICT 41","STATE REPRESENTATIVE DISTRICT 41","*JADE SOOKTIS","7/27/2026 11:57:34 AM","DEM"
"HOUSE DISTRICT 56","STATE REPRESENTATIVE DISTRICT 56","*FIONA B NAVE","7/27/2026 3:09:58 PM","REP"
"HOUSE DISTRICT 69","STATE REPRESENTATIVE DISTRICT 69","TREVOR WALTER","7/28/2026 12:11:52 PM","REP"
"HOUSE DISTRICT 76","STATE REPRESENTATIVE DISTRICT 76","TRISH SCHREIBER","7/28/2026 12:59:01 PM","REP"
"HOUSE DISTRICT 76","STATE REPRESENTATIVE DISTRICT 76","SHAYNE MORGAN","7/28/2026 1:02:18 PM","IND"
"HOUSE DISTRICT 77","STATE REPRESENTATIVE DISTRICT 77","*JANE GILLETTE","7/28/2026 1:04:15 PM","REP"
"HOUSE DISTRICT 90","STATE REPRESENTATIVE DISTRICT 90","JEFF STANEK","7/29/2026 10:26:58 AM","REP"
"HOUSE DISTRICT 92","STATE REPRESENTATIVE DISTRICT 92","MONICA TRANEL","7/29/2026 10:32:48 AM","DEM"
"HOUSE DISTRICT 95","STATE REPRESENTATIVE DISTRICT 95","*ZOOEY ZEPHYR","7/29/2026 10:41:02 AM","DEM"
"HOUSE DISTRICT 96","STATE REPRESENTATIVE DISTRICT 96","*BOB CARTER","7/29/2026 10:42:56 AM","DEM"
